,p,Avg Trajectory Length,Avg T_FDG,Avg FDG_FG,Avg Cells Processed
0,0,201,1,1,10201
0,0.01,202.8,1.008955224,1,22275.24
0,0.02,205.36,1.021691542,1,35254.69
0,0.03,207.32,1.031442786,1,44853.83
0,0.04,211.08,1.050149254,1,63869.2
0,0.05,212.86,1.059004975,1,69309.6
0,0.06,214.4,1.066666667,1,82377.42
0,0.07,217.74,1.083283582,1,94983.91
0,0.08,221.7,1.102985075,1,109727.59
0,0.09,224.18,1.115323383,1,126187.46
0,0.1,228.16,1.135124378,1,133451.59
0,0.11,231.32,1.150845771,1,148084.63
0,0.12,234.86,1.168457711,1,162530.19
0,0.13,239.86,1.193333333,1,176313.31
0,0.14,246.16,1.224543784,1,191573.92
0,0.15,249.82,1.242885572,1,211409.49
0,0.16,253.24,1.259900498,1,211227.76
0,0.17,256.94,1.278308458,0.999901478,230765.86
0,0.18,265.1,1.318905473,1,253377.72
0,0.19,273.26,1.359502488,1,268939.06
0,0.2,277.64,1.381293532,0.999507389,285185.81
0,0.21,285.42,1.419672573,0.999607834,311274.17
0,0.22,290.6,1.445313825,0.999606873,326250.28
0,0.23,297.84,1.481372647,0.999507389,344361.03
0,0.24,307.72,1.530624709,0.999312267,364352.43
0,0.25,320.24,1.592908628,0.998918179,403137.51
0,0.26,329.18,1.637156091,0.998529801,420508.75
0,0.27,349.78,1.738949668,0.995718915,458412.8
0,0.28,360.86,1.794650884,0.992240624,483879.29
0,0.29,383.88,1.907233593,0.99277868,532816.78
0,0.3,398.48,1.98116413,0.987849822,584298.32
