,p,Avg Trajectory Length,Avg T_FDG,Avg FDG_FG,Avg Cells Processed
0,0,201,1,1,10201
0,0.01,202.88,1.009353234,1,14697.29
0,0.02,205.02,1.02,1,21152.66
0,0.03,206.88,1.029253731,1,26184.42
0,0.04,209.72,1.043383085,1,31552.14
0,0.05,212.68,1.058109453,1,36364.36
0,0.06,215.52,1.072238806,1,42797.31
0,0.07,217.82,1.083681592,1,47908.87
0,0.08,220.42,1.096616915,1,55713.74
0,0.09,223.7,1.112935323,1,62951.62
0,0.1,228.42,1.13641791,1,64134.76
0,0.11,231.68,1.152636816,1,68005.69
0,0.12,234.64,1.167363184,1,73280.09
0,0.13,239.68,1.192437811,1,84058.59
0,0.14,244.86,1.218208955,1,85498.74
0,0.15,248.4,1.235820896,1,92748.26
0,0.16,250.96,1.248557214,0.999901478,101685.43
0,0.17,256.58,1.276401245,1,104323.47
0,0.18,263.02,1.308557214,1,112886.97
0,0.19,271.82,1.352338308,1,118672.99
0,0.2,276.24,1.37393179,0.999802956,128438.79
0,0.21,285.72,1.421492537,0.999802956,138774.68
0,0.22,292.86,1.456438296,0.999408867,152224.09
0,0.23,304.56,1.514919981,0.999408867,160195.73
0,0.24,311.1,1.547465137,0.999016701,168938.47
0,0.25,318.68,1.585171679,0.998732448,181091.67
0,0.26,338.42,1.683033577,0.999115223,187281.81
0,0.27,341.54,1.698218758,0.997747335,203738.84
0,0.28,351.18,1.746074972,0.995301399,209376.22
0,0.29,374.24,1.859723904,0.991950881,243055.15
0,0.3,401.64,1.996191873,0.988427291,267021.02
